Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-30 00:00:00-04:00,950.0,984.375,937.5,937.5,3210,0.0,0.0
2020-07-01 00:00:00-04:00,950.0,1012.5,950.0,987.5,3795,0.0,0.0
2020-07-02 00:00:00-04:00,1006.25,1012.5,943.75,956.25,3327,0.0,0.0
2020-07-06 00:00:00-04:00,981.25,1112.5,975.0,1075.0,11374,0.0,0.0
2020-07-07 00:00:00-04:00,1075.0,1075.0,987.5,1018.75,5318,0.0,0.0
2020-07-08 00:00:00-04:00,1025.0,1043.75,993.75,1006.25,3396,0.0,0.0
2020-07-09 00:00:00-04:00,1012.5,1018.75,981.25,1012.5,3476,0.0,0.0
2020-07-10 00:00:00-04:00,1018.75,1037.5,981.25,1000.0,2497,0.0,0.0
2020-07-13 00:00:00-04:00,1012.5,1093.75,993.75,993.75,9512,0.0,0.0
2020-07-14 00:00:00-04:00,1006.25,1068.75,993.75,1062.5,4380,0.0,0.0
2020-07-15 00:00:00-04:00,1093.75,1206.25,1056.25,1156.25,15508,0.0,0.0
2020-07-16 00:00:00-04:00,1162.5,1187.5,1118.75,1156.25,5963,0.0,0.0
2020-07-17 00:00:00-04:00,1153.125,1200.0,1125.0,1150.0,4636,0.0,0.0
2020-07-20 00:00:00-04:00,1200.0,1325.0,1162.5,1237.5,16306,0.0,0.0
2020-07-21 00:00:00-04:00,1325.0,1375.0,1250.0,1275.0,7576,0.0,0.0
2020-07-22 00:00:00-04:00,1293.75,1300.0,1025.0,1243.75,8316,0.0,0.0
2020-07-23 00:00:00-04:00,1243.75,1268.75,1187.5,1206.25,4705,0.0,0.0
2020-07-24 00:00:00-04:00,1206.25,1250.0,1162.5,1237.5,3427,0.0,0.0
2020-07-27 00:00:00-04:00,1275.0,1387.5,1262.5,1343.75,11910,0.0,0.0
2020-07-28 00:00:00-04:00,1381.25,1493.75,1359.375,1418.75,13138,0.0,0.0
2020-07-29 00:00:00-04:00,1437.5,1456.25,1331.25,1393.75,9468,0.0,0.0
2020-07-30 00:00:00-04:00,1381.25,1412.5,1350.0,1393.75,6502,0.0,0.0
2020-07-31 00:00:00-04:00,1406.25,1481.25,1387.5,1450.0,10881,0.0,0.0
