Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2011-02-17 00:00:00-05:00,60.969175631107674,61.58732172062776,60.87827322229192,61.4236946105957,12200,0.0,0.0,0.0
2011-02-18 00:00:00-05:00,61.41462978683673,61.578256970131115,61.196462520915,61.30554962158203,3800,0.0,0.0,0.0
2011-02-22 00:00:00-05:00,60.48741207509408,60.8692065140216,59.91472041670281,60.00562286376953,8800,0.0,0.0,0.0
2011-02-23 00:00:00-05:00,59.49653920694173,59.49653920694173,58.21479912820054,58.342063903808594,2900,0.0,0.0,0.0
2011-02-24 00:00:00-05:00,58.887492950457954,59.105660174557535,58.42388153076172,58.42388153076172,2200,0.0,0.0,0.0
2011-02-25 00:00:00-05:00,59.18747857814601,60.22378158569336,59.18747857814601,60.22378158569336,3500,0.0,0.0,0.0
2011-02-28 00:00:00-05:00,60.76012089497895,60.76012089497895,59.83290481567383,59.83290481567383,2800,0.0,0.0,0.0
2011-03-01 00:00:00-05:00,59.92379697654539,59.92379697654539,59.31474304199219,59.31474304199219,1300,0.0,0.0,0.0
2011-03-02 00:00:00-05:00,59.03293755415723,59.551089003578674,59.023845231069714,59.52381896972656,2400,0.0,0.0,0.0
2011-03-03 00:00:00-05:00,60.11469487117968,60.487403869628906,60.11469487117968,60.487403869628906,600,0.0,0.0,0.0
2011-03-04 00:00:00-05:00,60.6055728885406,60.805562394811524,60.37831334694378,60.73283767700195,51700,0.0,0.0,0.0
2011-03-07 00:00:00-05:00,61.178272249168366,61.178272249168366,59.27837884776571,59.851070404052734,39600,0.0,0.0,0.0
2011-03-08 00:00:00-05:00,59.869249881175364,60.94191511767292,59.57835796629858,60.68738555908203,2500,0.0,0.0,0.0
2011-03-09 00:00:00-05:00,60.13287011359338,60.505572118334605,59.98742069243867,60.3783073425293,4200,0.0,0.0,0.0
2011-03-10 00:00:00-05:00,59.660180123330704,59.660180123330704,58.48751990391229,58.79659652709961,4100,0.0,0.0,0.0
2011-03-11 00:00:00-05:00,58.596609672749956,59.21475601196289,58.532977267334445,59.21475601196289,9700,0.0,0.0,0.0
2011-03-14 00:00:00-04:00,58.742042541503906,58.742042541503906,58.742042541503906,58.742042541503906,200,0.0,0.0,0.0
2011-03-15 00:00:00-04:00,57.151223723710096,58.6511344909668,57.11486483558102,58.6511344909668,4800,0.0,0.0,0.0
2011-03-16 00:00:00-04:00,58.105717144672646,58.61478322704005,57.98754468138934,58.0057258605957,5400,0.0,0.0,0.0
2011-03-17 00:00:00-04:00,58.72386800549702,58.72386800549702,57.8693733215332,57.8693733215332,2600,0.0,0.0,0.0
2011-03-18 00:00:00-04:00,58.30570231069855,58.30570231069855,58.22389221191406,58.22389221191406,600,0.0,0.0,0.0
2011-03-21 00:00:00-04:00,59.2692779987368,59.632894605284434,59.18746790335379,59.5419921875,18500,0.0,0.0,0.0
2011-03-22 00:00:00-04:00,59.83288868951319,59.90561340350052,59.269282559227044,59.423824310302734,17200,0.0,0.0,0.0
2011-03-23 00:00:00-04:00,58.94203476627163,59.82380294799805,58.687505174724045,59.82380294799805,10800,0.0,0.0,0.0
2011-03-24 00:00:00-04:00,60.023769846292474,60.360116357180175,59.80560269795351,60.287391662597656,7500,0.0,0.0,0.0
2011-03-25 00:00:00-04:00,60.56012050608885,61.45097395713081,60.56012050608885,60.96918487548828,23300,0.0,0.0,0.0
2011-03-28 00:00:00-04:00,61.11463928222656,61.2509894595352,60.941919810421155,61.11463928222656,8800,0.0,0.0,0.0
2011-03-29 00:00:00-04:00,60.63285678745735,61.37826797691537,60.63285678745735,61.36918258666992,9700,0.0,0.0,0.0
2011-03-30 00:00:00-04:00,61.77823021299338,62.26911163330078,61.74186785570278,62.26911163330078,800,0.0,0.0,0.0
2011-03-31 00:00:00-04:00,62.36909344997835,62.52362823486328,62.36909344997835,62.52362823486328,1500,0.0,0.0,0.0
2011-04-01 00:00:00-04:00,62.741804808630384,62.741804808630384,62.63272467842549,62.73271942138672,800,0.0,0.0,0.0
2011-04-04 00:00:00-04:00,62.95091778106355,62.99637248142468,62.741835868981305,62.7781982421875,1800,0.0,0.0,0.0
2011-04-05 00:00:00-04:00,63.63267796013945,63.67813264713273,63.405418395996094,63.405418395996094,3100,0.0,0.0,0.0
2011-04-06 00:00:00-04:00,63.950838032317954,63.950838032317954,63.396324157714844,63.396324157714844,3700,0.0,0.0,0.0
2011-04-07 00:00:00-04:00,63.050875866763455,63.269043043575195,62.923611102339144,63.16904830932617,27700,0.0,0.0,0.0
2011-04-08 00:00:00-04:00,63.22359073655339,63.24176844355355,62.27819045813773,62.45999526977539,2400,0.0,0.0,0.0
2011-04-11 00:00:00-04:00,62.34185005484547,62.34185005484547,61.887330891894564,61.978233337402344,1600,0.0,0.0,0.0
2011-04-12 00:00:00-04:00,61.55098184996451,61.55098184996451,61.26008987426758,61.26008987426758,800,0.0,0.0,0.0
2011-04-13 00:00:00-04:00,61.7146163977446,61.7146163977446,61.0146598815918,61.0146598815918,600,0.0,0.0,0.0
2011-04-14 00:00:00-04:00,61.31463833286838,61.687347412109375,61.05102329561585,61.687347412109375,1400,0.0,0.0,0.0
2011-04-15 00:00:00-04:00,62.18729019165039,62.18729019165039,62.18729019165039,62.18729019165039,1000,0.0,0.0,0.0
2011-04-18 00:00:00-04:00,61.569160854419614,61.569160854419614,60.71466271991503,61.16918182373047,2100,0.0,0.0,0.0
